medal_type,name,gender,country,event
Bronze Medal,David BETLEHEM,M,Hungary,Men's 10km
Gold Medal,Valentin BONTUS,M,Austria,Men's Kite
Silver Medal,Toni VODISEK,M,Slovenia,Men's Kite
Bronze Medal,Maximilian MAEDER,M,Singapore,Men's Kite
Gold Medal,Toby ROBERTS,M,Great Britain,Men's Boulder & Lead
Silver Medal,ANRAKU Sorato,M,Japan,Men's Boulder & Lead
Bronze Medal,Jakob SCHUBERT,M,Austria,Men's Boulder & Lead
Gold Medal,China,M,China,Men's Team
Silver Medal,Sweden,M,Sweden,Men's Team
Bronze Medal,France,M,France,Men's Team
Gold Medal,Firas KATOUSSI,M,Tunisia,Men -80kg
Silver Medal,Mehran BARKHORDARI,M,IR Iran,Men -80kg
Bronze Medal,Simone ALESSIO,M,Italy,Men -80kg
Bronze Medal,Edi HRNIC,M,Denmark,Men -80kg
Gold Medal,Viviana MARTON,W,Hungary,Women -67kg
Silver Medal,Aleksandra PERISIC,W,Serbia,Women -67kg
Bronze Medal,Kristina TEACHOUT,W,United States,Women -67kg
Bronze Medal,Sarah CHAARI,W,Belgium,Women -67kg
Bronze Medal,United States,M,United States,Men
Gold Medal,Karlos May NASAR,M,Bulgaria,Men's 89kg
Silver Medal,Yeison LOPEZ,M,Colombia,Men's 89kg
Bronze Medal,Antonino PIZZOLATO,M,Italy,Men's 89kg
Gold Medal,Olivia REEVES,W,United States,Women's 71kg
Silver Medal,Mari Leivis SANCHEZ,W,Colombia,Women's 71kg
Bronze Medal,Angie Paola PALACIOS DAJOMES,W,Ecuador,Women's 71kg
Gold Medal,HIGUCHI Rei,M,Japan,Men's Freestyle 57kg
Silver Medal,Spencer Richard LEE,M,United States,Men's Freestyle 57kg
Bronze Medal,Aman AMAN,M,India,Men's Freestyle 57kg
Bronze Medal,Gulomjon ABDULLAEV,M,Uzbekistan,Men's Freestyle 57kg
Gold Medal,Magomed Eldarovitch RAMAZANOV,M,Bulgaria,Men's Freestyle 86kg
Silver Medal,Hassan YAZDANICHARATI,M,IR Iran,Men's Freestyle 86kg
Bronze Medal,Aaron Marquel BROOKS,M,United States,Men's Freestyle 86kg
Bronze Medal,Dauren KURUGLIEV,M,Greece,Men's Freestyle 86kg
Gold Medal,SAKURAI Tsugumi,W,Japan,Women's Freestyle 57kg
Silver Medal,Anastasia NICHITA,W,Republic of Moldova,Women's Freestyle 57kg
Bronze Medal,Helen Louise MAROULIS,W,United States,Women's Freestyle 57kg
Bronze Medal,HONG Kexin,W,China,Women's Freestyle 57kg
Gold Medal,China,W,China,Duet
Silver Medal,Great Britain,W,Great Britain,Duet
Bronze Medal,Netherlands,W,Netherlands,Duet
Gold Medal,United States,M,United States,Men's 4 x 400m Relay
Silver Medal,Botswana,M,Botswana,Men's 4 x 400m Relay
Bronze Medal,Great Britain,M,Great Britain,Men's 4 x 400m Relay
Gold Medal,Jakob INGEBRIGTSEN,M,Norway,Men's 5000m
Silver Medal,Ronald KWEMOI,M,Kenya,Men's 5000m
Bronze Medal,Grant FISHER,M,United States,Men's 5000m
Gold Medal,Emmanuel WANYONYI,M,Kenya,Men's 800m
Silver Medal,Marco AROP,M,Canada,Men's 800m
Bronze Medal,Djamel SEDJATI,M,Algeria,Men's 800m
Gold Medal,Hamish KERR,M,New Zealand,Men's High Jump
Silver Medal,Shelby McEWEN,M,United States,Men's High Jump
Bronze Medal,Mutaz Essa BARSHIM,M,Qatar,Men's High Jump
Gold Medal,Tamirat TOLA,M,Ethiopia,Men's Marathon
Silver Medal,Bashir ABDI,M,Belgium,Men's Marathon
Bronze Medal,Benson KIPRUTO,M,Kenya,Men's Marathon
Gold Medal,Masai RUSSELL,W,United States,Women's 100m Hurdles
Silver Medal,Cyrena SAMBA-MAYELA,W,France,Women's 100m Hurdles
Bronze Medal,Jasmine CAMACHO-QUINN,W,Puerto Rico,Women's 100m Hurdles
Gold Medal,Faith KIPYEGON,W,Kenya,Women's 1500m
Silver Medal,Jessica HULL,W,Australia,Women's 1500m
Bronze Medal,Georgia BELL,W,Great Britain,Women's 1500m
Gold Medal,United States,W,United States,Women's 4 x 400m Relay
Silver Medal,Netherlands,W,Netherlands,Women's 4 x 400m Relay
Bronze Medal,Great Britain,W,Great Britain,Women's 4 x 400m Relay
Gold Medal,KITAGUCHI Haruka,W,Japan,Women's Javelin Throw
Silver Medal,Jo-Ane van DYK,W,South Africa,Women's Javelin Throw
Bronze Medal,Nikola OGRODNIKOVA,W,Czechia,Women's Javelin Throw
Gold Medal,United States,M,United States,Men
Silver Medal,France,M,France,Men
Bronze Medal,Serbia,M,Serbia,Men
Gold Medal,AHMAN/HELLVIG,M,Sweden,Men
Silver Medal,EHLERS/WICKLER,M,Germany,Men
Bronze Medal,MOL/SORUM,M,Norway,Men
Gold Medal,Bakhodir JALOLOV,M,Uzbekistan,Men's +92kg
Silver Medal,Ayoub GHADFA DRISSI EL AISSAOUI,M,Spain,Men's +92kg
Gold Medal,Abdumalik KHALOKOV,M,Uzbekistan,Men's 57kg
Silver Medal,Munarbek SEIITBEK UULU,M,Kyrgyzstan,Men's 57kg
Gold Medal,LIN Yu Ting,W,Chinese Taipei,Women's 57kg
Silver Medal,Julia SZEREMETA,W,Poland,Women's 57kg
Gold Medal,LI Qian,W,China,Women's 75kg
Silver Medal,Atheyna Bibeichi BYLON,W,Panama,Women's 75kg
Gold Medal,PHIL WIZARD,M,Canada,B-Boys
Silver Medal,DANY DANN,M,France,B-Boys
Bronze Medal,VICTOR,M,United States,B-Boys
Gold Medal,Josef DOSTAL,M,Czechia,Men's Kayak Single 1000m
Silver Medal,Adam VARGA,M,Hungary,Men's Kayak Single 1000m
Bronze Medal,Balint KOPASZ,M,Hungary,Men's Kayak Single 1000m
Gold Medal,Katie VINCENT,W,Canada,Women's Canoe Single 200m
Silver Medal,Nevin HARRISON,W,United States,Women's Canoe Single 200m
Bronze Medal,Yarisleidis CIRILO DUBOYS,W,Cuba,Women's Canoe Single 200m
Gold Medal,Lisa CARRINGTON,W,New Zealand,Women's Kayak Single 500m
Silver Medal,Tamara CSIPES,W,Hungary,Women's Kayak Single 500m
Bronze Medal,Emma Aastrand JORGENSEN,W,Denmark,Women's Kayak Single 500m
Gold Medal,Portugal,M,Portugal,Men's Madison
Silver Medal,Italy,M,Italy,Men's Madison
Bronze Medal,Denmark,M,Denmark,Men's Madison
Gold Medal,CAO Yuan,M,China,Men's 10m Platform
Silver Medal,TAMAI Rikuto,M,Japan,Men's 10m Platform
Bronze Medal,Noah WILLIAMS,M,Great Britain,Men's 10m Platform
Gold Medal,United States,W,United States,Women
Silver Medal,Brazil,W,Brazil,Women
Gold Medal,Lydia KO,W,New Zealand,Women's Individual Stroke Play
Silver Medal,Esther HENSELEIT,W,Germany,Women's Individual Stroke Play
Bronze Medal,LIN Xiyu Janet,W,China,Women's Individual Stroke Play
Gold Medal,Norway,W,Norway,Women
Silver Medal,France,W,France,Women
Bronze Medal,Denmark,W,Denmark,Women
Gold Medal,Ahmed ELGENDY,M,Egypt,Men's Individual
Silver Medal,SATO Taishu,M,Japan,Men's Individual
Bronze Medal,Giorgio MALAN,M,Italy,Men's Individual
Gold Medal,Janja GARNBRET,W,Slovenia,Women's Boulder & Lead
Silver Medal,Brooke RABOUTOU,W,United States,Women's Boulder & Lead
Bronze Medal,Jessica PILZ,W,Austria,Women's Boulder & Lead
Gold Medal,China,W,China,Women's Team
Silver Medal,Japan,W,Japan,Women's Team
Bronze Medal,Korea,W,Korea,Women's Team
Gold Medal,Arian SALIMI,M,IR Iran,Men +80kg
Silver Medal,Caden CUNNINGHAM,M,Great Britain,Men +80kg
Bronze Medal,Rafael ALBA,M,Cuba,Men +80kg
Bronze Medal,Cheick Sallah CISSE,M,Côte d'Ivoire,Men +80kg
Gold Medal,Althea LAURIN,W,France,Women +67kg
Silver Medal,Svetlana OSIPOVA,W,Uzbekistan,Women +67kg
Bronze Medal,LEE Dabin,W,Korea,Women +67kg
Bronze Medal,Nafia KUS AYDIN,W,Türkiye,Women +67kg
Gold Medal,France,M,France,Men
Silver Medal,Poland,M,Poland,Men
Bronze Medal,Brazil,W,Brazil,Women
Gold Medal,Spain,W,Spain,Women
Silver Medal,Australia,W,Australia,Women
Bronze Medal,Netherlands,W,Netherlands,Women
Gold Medal,Lasha TALAKHADZE,M,Georgia,Men's +102kg
Silver Medal,Varazdat LALAYAN,M,Armenia,Men's +102kg
Bronze Medal,Gor MINASYAN,M,Bahrain,Men's +102kg
Gold Medal,LIU Huanhua,M,China,Men's 102kg
Silver Medal,Akbar DJURAEV,M,Uzbekistan,Men's 102kg
Bronze Medal,Yauheni TSIKHANTSOU,M,AIN,Men's 102kg
Gold Medal,Solfrid Eila Amena KOANDA,W,Norway,Women's 81kg
Silver Medal,Sara AHMED,W,Egypt,Women's 81kg
Bronze Medal,Neisi Patricia DAJOMES BARRERA,W,Ecuador,Women's 81kg
Gold Medal,Geno PETRIASHVILI,M,Georgia,Men's Freestyle 125kg
Silver Medal,Amir Hossein ZARE,M,IR Iran,Men's Freestyle 125kg
Bronze Medal,Taha AKGUL,M,Türkiye,Men's Freestyle 125kg
Bronze Medal,Giorgi MESHVILDISHVILI,M,Azerbaijan,Men's Freestyle 125kg
Gold Medal,Razambek Salambekovitch JAMALOV,M,Uzbekistan,Men's Freestyle 74kg
Silver Medal,TAKATANI Daichi,M,Japan,Men's Freestyle 74kg
Bronze Medal,Kyle Douglas DAKE,M,United States,Men's Freestyle 74kg
Bronze Medal,Chermen VALIEV,M,Albania,Men's Freestyle 74kg
Gold Medal,MOTOKI Sakura,W,Japan,Women's Freestyle 62kg
Silver Medal,Iryna KOLIADENKO,W,Ukraine,Women's Freestyle 62kg
Bronze Medal,Aisuluu TYNYBEKOVA,W,Kyrgyzstan,Women's Freestyle 62kg
Bronze Medal,Grace Jacob BULLEN,W,Norway,Women's Freestyle 62kg
Gold Medal,Sifan HASSAN,W,Netherlands,Women's Marathon
Silver Medal,Tigst ASSEFA,W,Ethiopia,Women's Marathon
Bronze Medal,Hellen OBIRI,W,Kenya,Women's Marathon
Gold Medal,United States,W,United States,Women
Silver Medal,France,W,France,Women
Bronze Medal,Australia,W,Australia,Women
Gold Medal,Harrie LAVREYSEN,M,Netherlands,Men's Keirin
Silver Medal,Matthew RICHARDSON,M,Australia,Men's Keirin
Bronze Medal,Matthew GLAETZER,M,Australia,Men's Keirin
Gold Medal,Jennifer VALENTE,W,United States,Women's Omnium
Silver Medal,Daria PIKULIK,W,Poland,Women's Omnium
Bronze Medal,Ally WOLLASTON,W,New Zealand,Women's Omnium
Gold Medal,Ellesse ANDREWS,W,New Zealand,Women's Sprint
Silver Medal,Lea FRIEDRICH,W,Germany,Women's Sprint
Bronze Medal,Emma FINUCANE,W,Great Britain,Women's Sprint
Gold Medal,Denmark,M,Denmark,Men
Silver Medal,Germany,M,Germany,Men
Bronze Medal,Spain,M,Spain,Men
Gold Medal,Michelle GULYAS,W,Hungary,Women's Individual
Silver Medal,Elodie CLOUVEL,W,France,Women's Individual
Bronze Medal,SEONG Seungmin,W,Korea,Women's Individual
Gold Medal,Italy,W,Italy,Women
Silver Medal,United States,W,United States,Women
Gold Medal,Serbia,M,Serbia,Men
Silver Medal,Croatia,M,Croatia,Men
Bronze Medal,United States,M,United States,Men
Gold Medal,LI Wenwen,W,China,Women's +81kg
Silver Medal,PARK Hyejeong,W,Korea,Women's +81kg
Bronze Medal,Emily CAMPBELL,W,Great Britain,Women's +81kg
Gold Medal,KIYOOKA Kotaro,M,Japan,Men's Freestyle 65kg
Silver Medal,Rahman AMOUZADKHALILI,M,IR Iran,Men's Freestyle 65kg
Bronze Medal,Sebastian C RIVERA,M,Puerto Rico,Men's Freestyle 65kg
Bronze Medal,Islam DUDAEV,M,Albania,Men's Freestyle 65kg
Gold Medal,Akhmed TAZHUDINOV,M,Bahrain,Men's Freestyle 97kg
Silver Medal,Givi MATCHARASHVILI,M,Georgia,Men's Freestyle 97kg
Bronze Medal,Magomedkhan MAGOMEDOV,M,Azerbaijan,Men's Freestyle 97kg
Bronze Medal,Amirali AZARPIRA,M,IR Iran,Men's Freestyle 97kg
Gold Medal,KAGAMI Yuka,W,Japan,Women's Freestyle 76kg
Silver Medal,Kennedy Alexis BLADES,W,United States,Women's Freestyle 76kg
Bronze Medal,Milaimy de la Carid. MARIN POTRILLE,W,Cuba,Women's Freestyle 76kg
Bronze Medal,Tatiana RENTERIA RENTERIA,W,Colombia,Women's Freestyle 76kg
Gold Medal,People's Republic of China,W,China,Group All-Around
Silver Medal,Israel,W,Israel,Group All-Around
Bronze Medal,Italy,W,Italy,Group All-Around
Gold Medal,VARFOLOMEEV Darja,W,Germany,Individual All-Around
Silver Medal,KALEYN Boryana,W,Bulgaria,Individual All-Around
Bronze Medal,RAFFAELI Sofia,W,Italy,Individual All-Around
Gold Medal,THIAM Nafissatou,W,Belgium,Women's Heptathlon
Silver Medal,JOHNSON-THOMPSON Katarina,W,Great Britain,Women's Heptathlon
Bronze Medal,VIDTS Noor,W,Belgium,Women's Heptathlon
